#Millis,TC1Internal(C),TC1External(C),TC2Internal(C),TC2External(C)
2500,27.69,97.25,27.31,26.75
2606,27.62,97.00,27.31,26.75
2712,27.69,97.25,27.25,26.75
2819,27.62,97.00,27.31,26.75
2924,27.69,96.75,27.31,26.75
3031,27.69,96.50,27.25,26.75
3137,27.69,96.75,27.31,26.75
3244,27.69,96.75,27.31,26.75
3349,27.69,97.00,27.31,26.75
3456,27.69,97.00,27.25,26.75
3562,27.69,97.25,27.31,26.75
3667,27.69,97.25,27.31,27.00
3774,27.62,97.00,27.25,26.75
3880,27.62,97.00,27.31,26.75
3986,27.69,97.25,27.31,26.75
4092,27.69,97.25,27.31,26.75
4199,27.69,97.25,27.31,26.75
4305,27.69,97.25,27.31,26.75
4411,27.69,97.00,27.31,26.75
4517,27.69,97.00,27.31,26.75
4624,27.62,96.75,27.31,26.75
4730,27.69,96.75,27.25,26.75
4836,27.69,97.00,27.31,26.75
4942,27.69,97.25,27.25,26.75
5049,27.69,97.25,27.25,26.75
5154,27.62,97.00,27.31,26.75
5261,27.69,97.00,27.31,26.75
5367,27.62,97.00,27.31,26.75
5473,27.69,97.00,27.25,26.75
5579,27.69,97.00,27.37,26.75
5686,27.69,97.00,27.31,26.75
5792,27.69,97.00,27.31,26.75
5898,27.69,97.00,27.31,26.75
6004,27.69,97.25,27.31,26.75
6111,27.69,97.00,27.31,26.75
6216,27.62,97.00,27.31,26.75
6323,27.69,97.00,27.25,26.75
6429,27.69,97.00,27.31,26.75
6535,27.69,97.00,27.25,26.75
6641,27.69,97.25,27.31,26.75
6748,27.69,97.00,27.31,26.75
6854,27.62,97.00,27.31,26.75
6960,27.69,96.75,27.31,26.75
7066,27.69,97.00,27.31,26.75
7173,27.62,97.00,27.25,26.75
7278,27.69,97.00,27.31,26.75
7385,27.69,97.00,27.31,26.75
7491,27.62,97.00,27.31,26.75
7597,27.69,97.00,27.31,26.75
7703,27.62,97.00,27.31,26.75
7810,27.62,97.00,27.25,26.75
7916,27.62,97.00,27.31,26.75
8022,27.69,97.25,27.31,26.75
8128,27.62,97.00,27.31,26.75
8235,27.62,97.00,27.31,26.75
8340,27.69,97.25,27.25,26.75
8446,27.69,97.00,27.31,26.75
8553,27.62,96.75,27.31,26.75
8659,27.69,97.00,27.31,26.75
8765,27.69,96.75,27.31,26.75
8871,27.69,96.75,27.31,26.75
8978,27.62,97.00,27.31,26.75
9083,27.62,97.00,27.31,26.75
9190,27.69,97.00,27.31,26.75
9296,27.62,97.00,27.31,26.75
9402,27.62,97.00,27.31,26.75
9508,27.62,97.00,27.31,26.75
9615,27.69,97.25,27.31,26.75
9721,27.69,97.25,27.31,26.75
9827,27.69,97.25,27.31,26.75
9933,27.69,97.00,27.31,26.75
10040,27.75,96.75,27.31,26.75
10145,27.62,97.00,27.31,26.75
10252,27.62,96.75,27.31,27.00
10358,27.69,96.75,27.25,26.75
10465,27.62,97.00,27.31,26.75
10570,27.69,96.75,27.31,26.75
10677,27.62,97.00,27.25,26.75
10783,27.62,97.00,27.31,26.75
10890,27.69,97.00,27.31,26.75
10995,27.69,97.00,27.31,26.75
11102,27.69,97.00,27.25,26.75
11208,27.69,97.00,27.25,26.75
11315,27.69,97.00,27.31,26.75
11420,27.69,97.00,27.25,26.75
11527,27.69,97.00,27.31,26.75
11633,27.62,97.00,27.31,26.75
11740,27.62,96.75,27.31,26.75
11845,27.62,96.75,27.31,26.75
11952,27.69,96.75,27.31,26.75
12058,27.62,96.75,27.25,26.75
12165,27.69,96.75,27.31,26.75
12270,27.69,97.00,27.31,26.75
12377,27.69,96.75,27.31,26.75
12483,27.62,96.75,27.31,26.75
12590,27.62,97.00,27.25,26.75
12695,27.69,97.00,27.25,26.75
12802,27.62,97.00,27.31,26.75
12908,27.62,97.00,27.25,27.00
13015,27.69,97.00,27.31,26.75
13120,27.62,97.00,27.25,26.75
13227,27.62,97.00,27.31,26.75
13333,27.69,97.00,27.31,26.75
13440,27.62,97.00,27.25,26.75
13545,27.62,97.00,27.31,26.75
